Key,ACADEMIC_PERIOD,CAMPUS,COURSE_IDENTIFICATION,COURSE_SECTION_NUMBER,COURSE_REFERENCE_NUMBER,COURSE_TITLE_SHORT,CREDITS_EARNED,CREDITS_FOR_GPA,FINAL_GRADE,REPEAT_COURSE_IND,REGISTRATION_STATUS,REGISTRATION_STATUS_DESC,GRADABLE_IND,Most_Recent_Prior_Term,Most_Recent_Prior_Term_GPA
049633,202020,PWL,PHYS17200,018,25599,Modern Mechanics,4,4,A,,RW,**Web Registered**,Y,202010,3.84418605
049640,201920,PWL,PHYS17200,017,25598,Modern Mechanics,4,4,A+,,RW,**Web Registered**,Y,201910,4
049653,201920,PWL,PHYS17200,018,25599,Modern Mechanics,4,4,A-,,RW,**Web Registered**,Y,201910,4
049654,201920,PWL,PHYS17200,017,25598,Modern Mechanics,4,4,A-,,RW,**Web Registered**,Y,201910,3.4
049663,201920,PWL,PHYS17200,015,25602,Modern Mechanics,4,4,B,,RW,**Web Registered**,Y,201910,3.32857143
049687,202010,PWL,PHYS17200,102,26930,Modern Mechanics,4,4,B+,,RW,**Web Registered**,Y,201930,3.41219512
049689,201920,PWL,PHYS17200,133,11269,Modern Mechanics,4,4,A-,,RW,**Web Registered**,Y,201910,3.22
049691,202010,PWL,PHYS22000,050,10333,Gen Physics,4,4,B-,,RW,**Web Registered**,Y,201930,3.75384615
049713,202010,PWL,PHYS22000,002,27016,Gen Physics,0,0,,,DC,Drop Course,Y,201930,2.60769231
049719,201920,PWL,PHYS17200,018,25599,Modern Mechanics,4,4,B+,,RW,**Web Registered**,Y,201910,3.23333333
049734,201920,PWL,PHYS17200,015,25602,Modern Mechanics,4,4,B,,RW,**Web Registered**,Y,201910,2.09285714
049735,201920,PWL,PHYS17200,133,11269,Modern Mechanics,4,4,A+,,RW,**Web Registered**,Y,201910,3.95714286
049744,201920,PWL,PHYS17200,002,15038,Modern Mechanics,4,4,A-,,RW,**Web Registered**,Y,201910,4
049746,201920,PWL,PHYS17200,014,25601,Modern Mechanics,4,4,B+,,RW,**Web Registered**,Y,201910,2.52857143
049753,202110,PWL,PHYS22000,050,10333,Gen Physics,0,0,,,RW,**Web Registered**,Y,202020,3.48448276
049763,201920,PWL,PHYS22000,003,11270,Gen Physics,4,4,A-,,RW,**Web Registered**,Y,201910,3.07
049796,201920,PWL,PHYS17200,018,25599,Modern Mechanics,4,4,A-,,RW,**Web Registered**,Y,201910,3.06875
049806,202110,PWL,PHYS22000,002,27016,Gen Physics,0,0,,,RW,**Web Registered**,Y,202020,3.08769231
049807,201920,PWL,PHYS17200,018,25599,Modern Mechanics,0,0,W,,W,Withdrawn-W,Y,201910,3.17857143
049807,202010,PWL,PHYS17200,102,26930,Modern Mechanics,4,4,B,,RW,**Web Registered**,Y,201930,2.825
049933,201920,PWL,PHYS17200,017,25598,Modern Mechanics,4,4,B-,,RW,**Web Registered**,Y,201910,2.39375
049950,201920,PWL,PHYS17200,016,25600,Modern Mechanics,4,4,A-,,RW,**Web Registered**,Y,201910,3.64285714
049988,201920,PWL,PHYS17200,017,25598,Modern Mechanics,4,4,A,,RW,**Web Registered**,Y,201910,3.47058824
049999,201920,PWL,PHYS17200,014,25601,Modern Mechanics,4,4,A+,,RW,**Web Registered**,Y,201910,3.91428571
050007,202020,PWL,PHYS22000,001,25707,Gen Physics,4,4,B,,RW,**Web Registered**,Y,202010,3.36842105
050041,202010,PWL,PHYS17200,001,20928,Modern Mechanics,4,4,A-,,RE,**Registered**,Y,201930,4
050052,202110,PWL,PHYS22000,002,27016,Gen Physics,0,0,,,RW,**Web Registered**,Y,202020,3.26086957
050072,202110,PWL,PHYS22000,002,27016,Gen Physics,0,0,,,RW,**Web Registered**,Y,202020,3.25789474
050095,202020,PWL,PHYS22000,002,25708,Gen Physics,4,0,P,,RE,**Registered**,Y,202010,3.16206897
050096,202020,PWL,PHYS22000,002,25708,Gen Physics,4,4,C,,RW,**Web Registered**,Y,202010,3.36326531
050099,202010,PWL,PHYS22000,002,27016,Gen Physics,4,4,B-,,RW,**Web Registered**,Y,201930,3.15483871
050103,202110,PWL,PHYS22000,050,10333,Gen Physics,0,0,,,RW,**Web Registered**,Y,202020,3.48
050108,201920,PWL,PHYS17200,017,25598,Modern Mechanics,4,4,A,,RW,**Web Registered**,Y,201910,2.60714286
050111,202010,PWL,PHYS22000,050,10333,Gen Physics,4,4,A+,,RW,**Web Registered**,Y,201930,4
050120,201920,PWL,PHYS17200,017,25598,Modern Mechanics,4,4,A,,RW,**Web Registered**,Y,201910,3.14666667
050131,202010,PWL,PHYS22000,003,27017,Gen Physics,4,4,C,,RW,**Web Registered**,Y,201930,3.01
050141,202110,PWL,PHYS22000,003,27017,Gen Physics,0,0,,,RW,**Web Registered**,Y,202020,3.59152542
050143,201920,PWL,PHYS17200,017,25598,Modern Mechanics,4,4,A+,,RW,**Web Registered**,Y,201910,3.76666667
050152,201920,PWL,PHYS17200,018,25599,Modern Mechanics,4,4,A-,,RW,**Web Registered**,Y,201910,3.96470588
050156,201920,PWL,PHYS17200,014,25601,Modern Mechanics,4,4,A,,RW,**Web Registered**,Y,201910,3.18461539
050182,201920,PWL,PHYS17200,018,25599,Modern Mechanics,4,4,B,,RW,**Web Registered**,Y,201910,2.83125
050192,202110,PWL,PHYS22000,002,27016,Gen Physics,0,0,,,RW,**Web Registered**,Y,202020,3.44912281
050218,201920,PWL,PHYS17200,015,25602,Modern Mechanics,4,4,A-,,RW,**Web Registered**,Y,201910,2.56428571
050222,201920,PWL,PHYS17200,015,25602,Modern Mechanics,4,4,B,,RW,**Web Registered**,Y,201910,1.35714286
050232,202010,PWL,PHYS22000,002,27016,Gen Physics,4,4,A-,,RW,**Web Registered**,Y,201930,3.45806452
050234,201920,PWL,PHYS17200,133,11269,Modern Mechanics,4,4,B+,,RW,**Web Registered**,Y,201910,3.47058824
050239,201920,PWL,PHYS17200,014,25601,Modern Mechanics,4,4,B,,RW,**Web Registered**,Y,201910,2.40666667
050305,202110,PWL,PHYS22000,002,27016,Gen Physics,0,0,,,RW,**Web Registered**,Y,202020,3.32380952
050350,202010,PWL,PHYS22000,003,27017,Gen Physics,4,4,C+,,RW,**Web Registered**,Y,201930,2.73913044
050378,201920,PWL,PHYS17200,014,25601,Modern Mechanics,4,4,A,,RW,**Web Registered**,Y,201910,3.95714286
050386,201920,PWL,PHYS17200,017,25598,Modern Mechanics,4,4,A-,,RW,**Web Registered**,Y,201910,3.35625
050428,201920,PWL,PHYS17200,016,25600,Modern Mechanics,4,4,B-,,RW,**Web Registered**,Y,201910,3.00625
050436,202110,PWL,PHYS22000,002,27016,Gen Physics,0,0,,,RW,**Web Registered**,Y,202020,3.08666667
050443,202010,PWL,PHYS22000,003,27017,Gen Physics,4,4,B-,,RW,**Web Registered**,Y,201930,3.64
050446,201920,PWL,PHYS17200,001,13631,Modern Mechanics,4,4,C+,,RW,**Web Registered**,Y,201910,3.15
050457,201920,PWL,PHYS17200,015,25602,Modern Mechanics,4,4,B,,RW,**Web Registered**,Y,201910,3.13529412
050461,201920,PWL,PHYS17200,014,25601,Modern Mechanics,4,4,B,,RW,**Web Registered**,Y,201910,2.25
050462,201920,PWL,PHYS17200,018,25599,Modern Mechanics,4,4,A+,,RW,**Web Registered**,Y,201910,3.65
050487,201920,PWL,PHYS17200,018,25599,Modern Mechanics,4,4,B,,RW,**Web Registered**,Y,201910,2.77857143
050529,201920,PWL,PHYS17200,133,11269,Modern Mechanics,4,4,A,,RW,**Web Registered**,Y,201910,3.45333333
050533,201920,PWL,PHYS17200,014,25601,Modern Mechanics,4,4,B,,RW,**Web Registered**,Y,201910,3.6
050544,202010,PWL,PHYS22000,050,10333,Gen Physics,4,4,B+,,RW,**Web Registered**,Y,201930,3.8
050557,202020,PWL,PHYS22000,003,11270,Gen Physics,4,4,C-,,RW,**Web Registered**,Y,202010,2.40222222
050573,201920,PWL,PHYS17200,002,15038,Modern Mechanics,0,0,D+,E,RW,**Web Registered**,Y,201910,2.51666667
050573,202010,PWL,PHYS17200,100,26931,Modern Mechanics,4,4,B-,I,RW,**Web Registered**,Y,201930,2.47241379
050578,202020,PWL,PHYS22000,002,25708,Gen Physics,4,4,A,,RW,**Web Registered**,Y,202010,3.82941177
050579,201920,PWL,PHYS17200,133,11269,Modern Mechanics,4,4,B+,,RW,**Web Registered**,Y,201910,2.90833333
050583,202110,PWL,PHYS22000,050,10333,Gen Physics,0,0,,,RW,**Web Registered**,Y,202020,4
050597,201920,PWL,PHYS22000,003,11270,Gen Physics,4,4,B,,RW,**Web Registered**,Y,201910,3.93571429
050598,202110,PWL,PHYS22000,050,10333,Gen Physics,0,0,,,RW,**Web Registered**,Y,202020,3.10769231
050600,201920,PWL,PHYS17200,015,25602,Modern Mechanics,4,4,A+,,RW,**Web Registered**,Y,201910,4
050633,201920,PWL,PHYS17200,016,25600,Modern Mechanics,4,4,A+,,RW,**Web Registered**,Y,201910,3.47142857
050639,202010,PWL,PHYS22000,002,27016,Gen Physics,4,4,C+,,RW,**Web Registered**,Y,201930,3.61818182
050682,202020,PWL,PHYS22000,002,25708,Gen Physics,4,4,A-,,RW,**Web Registered**,Y,202010,3.16590909
050690,201920,PWL,PHYS17200,133,11269,Modern Mechanics,4,4,B+,,RW,**Web Registered**,Y,201910,2.79285714
050692,201920,PWL,PHYS17200,001,13631,Modern Mechanics,0,0,D+,E,RW,**Web Registered**,Y,201910,2.49285714
050692,202010,PWL,PHYS17200,100,26931,Modern Mechanics,4,4,C,I,RW,**Web Registered**,Y,201930,2.86363636
050700,201920,PWL,PHYS17200,013,13590,Modern Mechanics,4,4,A-,,RW,**Web Registered**,Y,201910,3.95714286
050770,201920,PWL,PHYS17200,015,25602,Modern Mechanics,4,4,A-,,RW,**Web Registered**,Y,201910,3.61428571
050797,202110,PWL,PHYS22000,003,27017,Gen Physics,0,0,,,RW,**Web Registered**,Y,202020,4
050798,201920,PWL,PHYS17200,014,25601,Modern Mechanics,4,4,B-,,RW,**Web Registered**,Y,201910,2.44285714
050809,201920,PWL,PHYS17200,015,25602,Modern Mechanics,4,4,C-,,RW,**Web Registered**,Y,201910,3.17647059
050820,202010,PWL,PHYS17200,102,26930,Modern Mechanics,4,4,B-,,RW,**Web Registered**,Y,201930,2.6
050821,201920,PWL,PHYS17200,018,25599,Modern Mechanics,4,4,A+,,RW,**Web Registered**,Y,201910,3.89333333
050833,201920,PWL,PHYS17200,002,15038,Modern Mechanics,4,4,A-,,RW,**Web Registered**,Y,201910,3.44615385
050857,201920,PWL,PHYS17200,017,25598,Modern Mechanics,4,4,A,,RW,**Web Registered**,Y,201910,3.9625
050864,201920,PWL,PHYS17200,015,25602,Modern Mechanics,4,4,B-,,RW,**Web Registered**,Y,201910,3.11875
050870,201920,PWL,PHYS17200,015,25602,Modern Mechanics,4,4,A-,,RW,**Web Registered**,Y,201910,3.52777778
050891,202010,PWL,PHYS17200,102,26930,Modern Mechanics,4,4,B,,RW,**Web Registered**,Y,201930,3.03333333
050897,202010,PWL,PHYS22000,002,27016,Gen Physics,4,4,B-,,RW,**Web Registered**,Y,201930,3.48
050906,201920,PWL,PHYS17200,016,25600,Modern Mechanics,4,4,A+,,RW,**Web Registered**,Y,201910,3.71428571
050926,202010,PWL,PHYS22000,003,27017,Gen Physics,4,4,C+,,RW,**Web Registered**,Y,201930,3.18
050930,201920,PWL,PHYS17200,016,25600,Modern Mechanics,4,4,A,,RW,**Web Registered**,Y,201910,3.78125
050935,201920,PWL,PHYS17200,002,15038,Modern Mechanics,4,4,B-,,RW,**Web Registered**,Y,201910,3.14117647
050942,202020,PWL,PHYS22000,003,11270,Gen Physics,4,4,A,,RW,**Web Registered**,Y,202010,3.94230769
050946,202010,PWL,PHYS22000,050,10333,Gen Physics,4,4,C-,,RW,**Web Registered**,Y,201930,3.25555556
050957,202110,PWL,PHYS22000,050,10333,Gen Physics,0,0,,,RW,**Web Registered**,Y,202020,3.33833333
050960,201920,PWL,PHYS17200,016,25600,Modern Mechanics,4,4,B+,,RW,**Web Registered**,Y,201910,3.66666667
050978,201920,PWL,PHYS17200,015,25602,Modern Mechanics,4,4,B,,RW,**Web Registered**,Y,201910,2.80666667
050993,201920,PWL,PHYS17200,133,11269,Modern Mechanics,4,4,A-,,RW,**Web Registered**,Y,201910,2.88
051009,202010,PWL,PHYS22000,003,27017,Gen Physics,4,4,C+,,RW,**Web Registered**,Y,201930,3.30333333
051009,202020,PWL,PHYS17200,001,13631,Modern Mechanics,4,0,P,,RE,**Registered**,Y,202010,2.91590909
051013,201920,PWL,PHYS17200,133,11269,Modern Mechanics,0,0,W,,W,Withdrawn-W,Y,201910,3.72666667
051013,202010,PWL,PHYS17200,002,13391,Modern Mechanics,4,4,B,,RW,**Web Registered**,Y,201930,3.72666667
051023,201920,PWL,PHYS22000,002,25708,Gen Physics,4,4,B-,,RW,**Web Registered**,Y,201910,2.9625
051032,201920,PWL,PHYS22000,003,11270,Gen Physics,4,4,B+,,RW,**Web Registered**,Y,201910,3.76923077
051034,201920,PWL,PHYS17200,017,25598,Modern Mechanics,4,4,A+,,RW,**Web Registered**,Y,201910,3.96
051036,201920,PWL,PHYS17200,133,11269,Modern Mechanics,4,4,A-,,RW,**Web Registered**,Y,201910,2.36428571
051047,202110,PWL,PHYS22000,002,27016,Gen Physics,0,0,,,RW,**Web Registered**,Y,202020,3.68240741
051068,201920,PWL,PHYS17200,001,13631,Modern Mechanics,4,4,A-,,RW,**Web Registered**,Y,201910,3.47142857
051077,201920,PWL,PHYS17200,001,13631,Modern Mechanics,4,4,B+,,RW,**Web Registered**,Y,201910,3.55714286
051087,201920,PWL,PHYS17200,017,25598,Modern Mechanics,4,4,A-,,RW,**Web Registered**,Y,201910,3.0375
051102,201920,PWL,PHYS17200,017,25598,Modern Mechanics,4,4,A+,,RW,**Web Registered**,Y,201910,4
051108,201920,PWL,PHYS17200,015,25602,Modern Mechanics,4,4,A-,,RW,**Web Registered**,Y,201910,2.50588235
051234,202010,PWL,PHYS22000,003,27017,Gen Physics,4,4,C+,,RW,**Web Registered**,Y,201930,3.07666667
051260,201920,PWL,PHYS17200,018,25599,Modern Mechanics,4,4,B+,,RW,**Web Registered**,Y,201910,2.96428571
051265,201920,PWL,PHYS17200,018,25599,Modern Mechanics,4,4,B,,RW,**Web Registered**,Y,201910,2.50714286
051268,201920,PWL,PHYS17200,017,25598,Modern Mechanics,4,4,A,,RW,**Web Registered**,Y,201910,3.5375
051271,201920,PWL,PHYS17200,016,25600,Modern Mechanics,4,4,A,,RW,**Web Registered**,Y,201910,3.58125
