Key,TEST_RULE,SATR EBRW,SATR Math,SATR Total,ACT Composite,ACT English,ACT Combined English/Writing,ACT Math
047388,SAT2ACT,,,,24,24,,24
047401,SAT2ACT,,,,20,21,,20
047404,SAT2ACT,630,620,1240,,,,
047414,SAT2ACT,750,740,1490,,,,
047423,SAT2ACT,,,,25,23,,24
047442,SAT2ACT,700,700,1400,32,27,,34
047446,SAT2ACT,,,,33,32,,32
047487,SAT2ACT,,,,24,22,,24
047513,SAT2ACT,570,550,1120,,,,
047540,SAT2ACT,670,650,1320,31,33,,30
047584,SAT2ACT,780,730,1510,,,,
047751,SAT2ACT,780,720,1500,34,35,,31
047764,SAT2ACT,,,,33,33,,32
047769,SAT2ACT,690,640,1330,,,,
047773,SAT2ACT,680,730,1380,,,,
047775,SAT2ACT,,,,30,32,,29
047787,SAT2ACT,620,670,1290,31,31,,30
047791,SAT2ACT,580,590,1170,,,,
047792,SAT2ACT,680,700,1340,31,30,,30
047806,SAT2ACT,670,690,1360,31,30,,32
047819,SAT2ACT,,,,35,36,,34
047824,SAT2ACT,750,690,1430,,,,
047826,SAT2ACT,690,640,1310,,,,
047832,SAT2ACT,590,580,1170,27,29,,27
047841,SAT2ACT,690,600,1280,32,35,,27
047847,SAT2ACT,,,,30,30,,31
047850,SAT2ACT,680,710,1370,30,31,,31
047873,SAT2ACT,670,760,1430,32,32,,30
047883,SAT2ACT,,,,27,30,,27
047897,SAT2ACT,600,520,1120,,,,
047911,SAT2ACT,630,790,1410,31,26,,34
047915,SAT2ACT,650,700,1350,,,,
047918,SAT2ACT,720,750,1470,33,35,,29
047929,SAT2ACT,400,540,940,,,,
047930,SAT2ACT,650,680,1310,,,,
047931,SAT2ACT,750,730,1480,33,35,,33
047932,SAT2ACT,650,650,1300,28,29,,29
047935,SAT2ACT,600,730,1330,28,26,,32
047947,SAT2ACT,700,780,1480,32,35,,34
047957,SAT2ACT,,,,34,35,,35
047958,SAT2ACT,620,690,1310,,,,
047971,SAT2ACT,660,680,1340,33,28,,35
047979,SAT2ACT,610,680,1270,26,23,,27
047999,SAT2ACT,520,600,1120,,,,
048022,SAT2ACT,530,590,1110,,,,
048023,SAT2ACT,680,670,1340,,,,
048039,SAT2ACT,500,520,1010,24,22,,20
048057,SAT2ACT,540,570,1110,,,,
048072,SAT2ACT,,,,31,35,,29
048075,SAT2ACT,630,700,1290,,,,
048079,SAT2ACT,620,730,1350,25,23,,31
048080,SAT2ACT,,,,28,26,,31
048084,SAT2ACT,,,,32,35,,28
048089,SAT2ACT,680,730,1410,29,27,,35
048107,SAT2ACT,640,740,1350,,,,
048116,SAT2ACT,740,680,1420,30,34,,28
048120,SAT2ACT,700,720,1420,32,31,,31
048237,SAT2ACT,600,550,1150,,,,
048251,SAT2ACT,640,620,1230,28,27,,26
048259,SAT2ACT,,,,30,34,,31
048261,SAT2ACT,670,690,1360,31,29,,27
048265,SAT2ACT,580,620,1180,25,21,,24
048303,SAT2ACT,670,710,1370,31,28,,29
048306,SAT2ACT,580,660,1240,23,22,,30
048313,SAT2ACT,630,630,1250,31,35,,29
048322,SAT2ACT,580,600,1170,,,,
048325,SAT2ACT,730,750,1480,33,36,,30
048343,SAT2ACT,,,,24,24,,25
048353,SAT2ACT,,,,32,29,,30
048386,SAT2ACT,,,,29,32,,32
048397,SAT2ACT,710,770,1480,,,,
048415,SAT2ACT,,,,29,26,,30
048439,SAT2ACT,600,550,1140,26,27,,24
048443,SAT2ACT,730,760,1470,33,35,,31
048478,SAT2ACT,580,670,1250,,,,
048496,SAT2ACT,640,760,1400,,,,
048556,SAT2ACT,750,770,1500,34,35,,33
048559,SAT2ACT,,,,32,35,,32
048563,SAT2ACT,660,690,1350,,,,
048567,SAT2ACT,,,,25,22,,25
048569,SAT2ACT,,,,32,32,,31
048584,SAT2ACT,630,620,1250,,,,
048591,SAT2ACT,620,760,1380,30,32,,29
048592,SAT2ACT,690,710,1400,,,,
048619,SAT2ACT,630,580,1200,27,29,,25
048625,SAT2ACT,,,,30,27,,31
048644,SAT2ACT,,,,24,22,,28
