Key,CONFIDENTIALITY_IND,GENDER,GENDER_DESC,REPORTING_ETHNICITY_CODE,REPORTING_ETHNICITY,UNDERREPRESENTED_MINORITY_IND,ADMISSIONS_ATTRIBUTE,ADMISSIONS_ATTRIBUTE_DESC,RESIDENCY,RESIDENCY_DESC,ADDRESS_RULE,COUNTY,COUNTY_DESC,STATE_PROVINCE,STATE_PROVINCE_DESC,NATION,NATION_DESC
046168,N,M,Male,B,White,N,,,N,Non-Resident,PERMADDR,26081,Kent,MI,Michigan,,
046169,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18169,Wabash,IN,Indiana,,
046175,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18063,Hendricks,IN,Indiana,,
046191,N,M,Male,B,White,N,,,N,Non-Resident,PERMADDR,48085,Collin,TX,Texas,,
046193,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18057,Hamilton,IN,Indiana,,
046204,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18081,Johnson,IN,Indiana,,
046224,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18073,Jasper,IN,Indiana,,
046232,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18163,Vanderburgh,IN,Indiana,,
046236,N,M,Male,B,White,N,,,N,Non-Resident,PERMADDR,17031,Cook,IL,Illinois,,
046254,N,F,Female,D,Asian,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18057,Hamilton,IN,Indiana,,
046259,N,M,Male,C,Black or African American,Y,A1GS,1st Generation Student,N,Non-Resident,PERMADDR,29189,Saint Louis,MO,Missouri,US,United States
046261,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18057,Hamilton,IN,Indiana,,
046280,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18015,Carroll,IN,Indiana,,
046281,N,F,Female,B,White,N,,,N,Non-Resident,PERMADDR,48453,Travis,TX,Texas,,
046283,N,M,Male,Y,Hispanic/Latino,Y,A1GS,1st Generation Student,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
046288,N,F,Female,B,White,N,,,N,Non-Resident,PERMADDR,27131,Rice,MN,Minnesota,,
046300,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
046309,N,M,Male,B,White,N,A1GS,1st Generation Student,N,Non-Resident,PERMADDR,17157,Randolph,IL,Illinois,,
046517,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18059,Hancock,IN,Indiana,,
046547,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
046556,N,F,Female,Y,Hispanic/Latino,Y,,,R,Resident,PERMADDR,18081,Johnson,IN,Indiana,,
046583,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18097,Marion,IN,Indiana,,
046597,N,F,Female,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
046598,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18121,Parke,IN,Indiana,,
046610,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18011,Boone,IN,Indiana,,
046614,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18063,Hendricks,IN,Indiana,,
046658,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18057,Hamilton,IN,Indiana,,
046666,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18097,Marion,IN,Indiana,,
046693,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18057,Hamilton,IN,Indiana,,
046703,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18097,Marion,IN,Indiana,,
046776,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18003,Allen,IN,Indiana,,
046796,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18097,Marion,IN,Indiana,,
046809,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18127,Porter,IN,Indiana,,
046866,N,F,Female,D,Asian,N,,,R,Resident,PERMADDR,18167,Vigo,IN,Indiana,,
046873,N,F,Female,B,White,N,,,N,Non-Resident,PERMADDR,12117,Seminole,FL,Florida,,
046880,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18097,Marion,IN,Indiana,,
046881,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18177,Wayne,IN,Indiana,,
046884,N,M,Male,I,International,N,,,F,Foreign,PERMADDR,,,,,KZ,Kazakhstan
046889,N,F,Female,B,White,N,,,R,Resident,PERMADDR,17097,Lake,IL,Illinois,,
046897,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18011,Boone,IN,Indiana,,
046913,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18033,Dekalb,IN,Indiana,,
046915,N,M,Male,B,White,N,,,N,Non-Resident,PERMADDR,17043,Dupage,IL,Illinois,,
047054,N,M,Male,X,2 or more races,N,,,R,Resident,PERMADDR,18063,Hendricks,IN,Indiana,,
047057,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18163,Vanderburgh,IN,Indiana,,
047072,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18095,Madison,IN,Indiana,,
047075,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18033,Dekalb,IN,Indiana,,
047077,N,M,Male,B,White,N,A1GS,1st Generation Student,N,Non-Resident,PERMADDR,17091,Kankakee,IL,Illinois,US,United States
047096,N,F,Female,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18015,Carroll,IN,Indiana,,
047101,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18125,Pike,IN,Indiana,,
047119,N,M,Male,B,White,N,,,N,Non-Resident,PERMADDR,06073,San Diego,CA,California,,
047123,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18073,Jasper,IN,Indiana,,
047126,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18157,Tippecanoe,IN,Indiana,,
047130,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18181,White,IN,Indiana,,
047158,N,F,Female,D,Asian,N,,,N,Non-Resident,PERMADDR,25017,Middlesex,MA,Massachusetts,,
047159,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18057,Hamilton,IN,Indiana,,
047167,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18017,Cass,IN,Indiana,US,United States
047193,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18011,Boone,IN,Indiana,,
047280,N,M,Male,X,2 or more races,N,,,N,Non-Resident,PERMADDR,26125,Oakland,MI,Michigan,,
047285,N,F,Female,X,2 or more races,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18097,Marion,IN,Indiana,,
047305,N,F,Female,Y,Hispanic/Latino,Y,,,N,Non-Resident,PERMADDR,34039,Union,NJ,New Jersey,,
047312,N,M,Male,B,White,N,,,N,Non-Resident,PERMADDR,26145,Saginaw,MI,Michigan,,
047367,N,M,Male,B,White,N,,,N,Non-Resident,PERMADDR,27053,Hennepin,MN,Minnesota,,
047388,N,F,Female,B,White,N,,,N,Non-Resident,PERMADDR,55131,Washington,WI,Wisconsin,,
047401,N,F,Female,C,Black or African American,Y,,,R,Resident,PERMADDR,18059,Hancock,IN,Indiana,,
047404,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18013,Brown,IN,Indiana,,
047414,N,F,Female,B,White,N,,,N,Non-Resident,PERMADDR,48157,Fort Bend,TX,Texas,,
047423,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18113,Noble,IN,Indiana,,
047442,N,M,Male,B,White,N,,,N,Non-Resident,PERMADDR,17043,Dupage,IL,Illinois,,
047446,N,M,Male,B,White,N,,,N,Non-Resident,PERMADDR,26125,Oakland,MI,Michigan,,
047487,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18089,Lake,IN,Indiana,,
047513,N,M,Male,Y,Hispanic/Latino,Y,A1GS,1st Generation Student,R,Resident,PERMADDR,18089,Lake,IN,Indiana,,
047540,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18063,Hendricks,IN,Indiana,,
047584,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18057,Hamilton,IN,Indiana,,
047751,N,M,Male,B,White,N,,,N,Non-Resident,PERMADDR,26163,Wayne,MI,Michigan,,
047764,N,M,Male,B,White,N,,,N,Non-Resident,PERMADDR,26125,Oakland,MI,Michigan,,
047769,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18063,Hendricks,IN,Indiana,,
047773,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18141,St Joseph,IN,Indiana,,
047775,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18063,Hendricks,IN,Indiana,,
047787,N,M,Male,B,White,N,,,N,Non-Resident,PERMADDR,26125,Oakland,MI,Michigan,,
047791,N,M,Male,B,White,N,,,R,Resident,PERMADDR,18109,Morgan,IN,Indiana,US,United States
047792,N,M,Male,B,White,N,A1GS,1st Generation Student,R,Resident,PERMADDR,18037,Dubois,IN,Indiana,,
047806,N,M,Male,B,White,N,A1GS,1st Generation Student,N,Non-Resident,PERMADDR,17043,Dupage,IL,Illinois,,
047819,N,M,Male,B,White,N,,,N,Non-Resident,PERMADDR,55133,Waukesha,WI,Wisconsin,,
047824,N,F,Female,B,White,N,,,N,Non-Resident,PERMADDR,25017,Middlesex,MA,Massachusetts,,
047826,N,F,Female,B,White,N,,,R,Resident,PERMADDR,18141,St Joseph,IN,Indiana,,
047832,N,M,Male,Y,Hispanic/Latino,Y,,,N,Non-Resident,PERMADDR,55073,Marathon,WI,Wisconsin,,
047841,N,F,Female,Y,Hispanic/Latino,Y,,,N,Non-Resident,PERMADDR,13121,Fulton,GA,Georgia,,
