PUID_SIX,ACADEMIC_PERIOD,TRANSFER_COURSE_INSTITUTION,TRANSFER_COURSE_INST_DESC,COURSE_IDENTIFICATION,COURSE_TITLE_SHORT,TRANSFER_COURSE_IND,CREDITS_EARNED
132078,,,,,,,
132125,,,,,,,
132155,201930,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
132268,,,,,,,
132332,,,,,,,
132396,,,,,,,
132399,,,,,,,
132424,,,,,,,
132490,,,,,,,
132536,,,,,,,
132589,,,,,,,
132666,,,,,,,
132668,,,,,,,
132699,201930,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus AB,Y,3
132706,,,,,,,
132785,201910,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
132785,201930,99ADPL,Advance Placement - CEEB,MA16600,Analytc Geom & Calc II,Y,4
132785,201930,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics C (Mechanics),Y,3
132789,,,,,,,
132829,,,,,,,
132838,,,,,,,
132849,,,,,,,
132862,201930,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
132862,201930,99ADPL,Advance Placement - CEEB,MA16600,Analytc Geom & Calc II,Y,4
132862,201930,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics C (Mechanics),Y,3
132946,,,,,,,
132958,,,,,,,
132974,,,,,,,
132981,201930,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
132981,201930,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics I,Y,4
132995,,,,,,,
133029,201930,99ADPL,Advance Placement - CEEB,MA1XXXX,Calculus AB,Y,3
133084,,,,,,,
133220,,,,,,,
133240,201910,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
133283,,,,,,,
133285,,,,,,,
133317,,,,,,,
133361,201910,99ADPL,Advance Placement - CEEB,MA16500,Anlytc Geomtry&Calc I,Y,4
133361,201910,99ADPL,Advance Placement - CEEB,PHYS1XXXX,Physics I,Y,4
