PUID_SIX,ACADEMIC_PERIOD,ACADEMIC_PERIOD_DESC,COURSE_IDENTIFICATION,COURSE_REFERENCE_NUMBER,Prior_Term_GPA_Term,Prior_Term_GPA_Term_Desc,Prior_Term_GPA_Term_Level,GPA
128749,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,2.5
129279,202210,Fall 2021,PHYS17200,26930,202120,Spring 2021,Undergraduate,3.2375
129413,202210,Fall 2021,PHYS17200,37253,202120,Spring 2021,Undergraduate,3.00666667
129690,202210,Fall 2021,PHYS17200,37254,202110,Fall 2020,Undergraduate,3.57142857
129700,202210,Fall 2021,PHYS22000,23960,202120,Spring 2021,Undergraduate,3.3625
129703,202120,Spring 2021,PHYS17200,28587,202110,Fall 2020,Undergraduate,3.6125
131077,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.32666667
131210,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,2.675
131381,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.71428571
131384,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,4
131460,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,4
131539,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,1.8
131553,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,3.56875
131648,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.06470588
131652,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.75625
131673,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.75
131689,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.325
131755,202210,Fall 2021,PHYS22000,23960,202120,Spring 2021,Undergraduate,3.61333333
131803,202120,Spring 2021,PHYS22000,26670,202110,Fall 2020,Undergraduate,3.20555556
131922,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.46470588
131923,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,2.84615385
131967,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,0.6
132076,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,4
132078,202210,Fall 2021,PHYS17200,37253,202120,Spring 2021,Undergraduate,3.54
132125,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,3.56428571
132155,202120,Spring 2021,PHYS17200,28589,202110,Fall 2020,Undergraduate,0.4
132268,202120,Spring 2021,PHYS17200,28588,202110,Fall 2020,Undergraduate,4
132332,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,4
132396,202210,Fall 2021,PHYS22000,23960,202120,Spring 2021,Undergraduate,2.275
132399,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,2.07333333
132424,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.78571429
132490,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,3.54666667
132536,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,3.12352941
132589,202210,Fall 2021,PHYS22000,27017,202120,Spring 2021,Undergraduate,3.925
132666,202210,Fall 2021,PHYS17200,26930,202120,Spring 2021,Undergraduate,0
132668,202120,Spring 2021,PHYS22000,32657,202110,Fall 2020,Undergraduate,3.06666667
132699,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,3.88
132706,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,2.5
132785,202120,Spring 2021,PHYS17200,28590,202110,Fall 2020,Undergraduate,0
132789,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,3.5625
132829,202120,Spring 2021,PHYS17200,28591,202110,Fall 2020,Undergraduate,1.13076923
132838,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,2.46666667
132849,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,2.33333333
132862,202120,Spring 2021,PHYS17200,28586,202110,Fall 2020,Undergraduate,2.9
132946,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,2.98666667
132958,202210,Fall 2021,PHYS22000,10333,202120,Spring 2021,Undergraduate,3.73157895
132974,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,4
132981,202120,Spring 2021,PHYS17200,28591,202110,Fall 2020,Undergraduate,3.42857143
132995,202210,Fall 2021,PHYS22000,23960,202120,Spring 2021,Undergraduate,1.69285714
133029,202120,Spring 2021,PHYS17200,28588,202110,Fall 2020,Undergraduate,3.17777778
133084,202120,Spring 2021,PHYS22000,25707,202110,Fall 2020,Undergraduate,3.25454546
133220,202210,Fall 2021,PHYS22000,27016,202120,Spring 2021,Undergraduate,1.56666667
133240,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,4
133283,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3
133285,202120,Spring 2021,PHYS22000,25708,202110,Fall 2020,Undergraduate,3.5
133317,202120,Spring 2021,PHYS22000,11270,202110,Fall 2020,Undergraduate,2.56666667
